Word,Language,IPA,English Translation
al diavolo,it,al diavolo,curut!
curnut!,it,kurnut!,cuckold
cornuto,it,kornuto,for Christ's sake
 porco iddio,it,porko idːio,mouthpieces
bocchini,it,bokːini,That your mother would die
che ti morisse la madre,it,ke ti morisːe la madre,care to kick someone in the ass
care un calcio nel culo a qualcuno,it,kare un kalt͡ʃo nel kulo a kualkuno,ditalini
ditalini,it,ditalini,swine god
porco dio,it,porko dio,fart
scoreggia,it,ʃored͡ʒːa,mone
mone,it,mone,darn
accidenti,it,at͡ʃːidenti,kick someone's ass
rompere il culo a qualcuno,it,rompere il kulo a kualkuno,Spanish
spagnola,it,spaɲola,Get the fuck out of here.
vattela a pijà 'n der culo,it,vatːela a pija 'n der kulo,fennel
finocchi,it,finokːi,have a face like an ass
avere la faccia come il culo,it,avere la fat͡ʃːa kome il kulo,sfacim and shits
sfacim e merde,it,sfat͡ʃim e merde,pig
maiala,it,maiala,holy crap
porca miseria,it,porka miseria,shitter
cagacazzo,it,kaɡakat͡so,wanker
segaiolo,it,seɡaiolo,cuckolds
cornuti,it,kornuti,pumping
pompinaro,it,pompinaro,slut
zoccola,it,sokːola,broken in the ass
rotto nel culo,it,rotːo nel kulo,minchie
minchie,it,minkie,asses
culi,it,kuli,get pissed off
incazzarsi,it,inkat͡sarsi,fuck
fottere,it,fotːere,fongoul
fongoul,it,fonɡoul,jinx
sfiga,it,sfiɡa,dicking around
cazzeggiare,it,kat͡sed͡ʒːare,kangaroo god
dio cangurello,it,dio kanɡurelːo,go sell your ass
vai a vendere il culo,it,vai a vendere il kulo,what the fuck
che cazzo,it,ke kat͡so,eat shit and death
mangia merde e morte,it,mand͡ʒa merde e morte,mimbominkia
mimbominkia,it,mimbominkia,Geez!
accidenti!,it,at͡ʃːidenti!,fuck
scopare,it,ʃopare,"go fuck yourself, bitch!"
"vai a farti fottere, puttana!",it,"vai a farti fotːere, putːana!",I will kill you
ti ammazzo,it,ti amːat͡so,crap
cagata,it,kaɡata,fag
ricchione,it,rikːione,bastard
bastardo,it,bastardo,saws
seghe,it,seɡe,whore
puttana,it,putːana,go give your ass away
vai a dar via il culo,it,vai a dar via il kulo,fucking Mother of God
cazzo Madre di dio,it,kat͡so madre di dio,blowjob
pompino,it,pompino,cum
sborra,it,zborːa,you piece of shit!
tu piezza di merda!,it,tu piet͡sa di merda!,son a dog
figlio un cane,it,fiʎo un kane,big wretch
gran’ disgraziato,it,ɡran’ disɡrasiato,going to whores:
andare a puttane:,it,andare a putːane:,whoremonger
puttaniere,it,putːaniere,mafankulo
mafankulo,it,mafankulo,holy shit
porca troia,it,porka troia,dicks
cazzi,it,kat͡si,holy crap
porca eva,it,porka eva,that they can kill you!
che te pozzino ammazza!,it,ke te pot͡sino amːat͡sa!,sbora
sbora,it,zbora,shithead
testa di cazzo,it,testa di kat͡so,jerk
cretino,it,kretino,that sucks
che palle,it,ke palːe,bastards
bastardi,it,bastardi,rottinculo
rottinculo,it,rotːinkulo,GOD.
dio santo!,it,dio santo!,tallow
segone,it,seɡone,saw
sega,it,seɡa,cum
sborrare,it,zborːare,fuck
cazzo,it,kat͡so,chicks
gnocche,it,ɲokːe,dang you
mannaggia tua,it,manːad͡ʒːa tua,no one unfungulo me
nessuno mi unfungulo,it,nesːuno mi unfunɡulo,fucking shit
cazzo di merda,it,kat͡so di merda,Dickhead
Testa di minchia,it,testa di minkia,chip
fiche,it,fike,you ma pees standing up
tu ma’ piscia in piedi,it,tu ma’ pist͡ʃa in piedi,ugly son of a bitch bastard
brutto figlio di puttana bastardo,it,brutːo fiʎo di putːana bastardo,faggots
froci,it,frot͡ʃi,whores
آب کیر,fa,ɒb kjr,water.
آشغال,fa,ɒʃɣɒl,rubbish.
آلت تناسلی,fa,ɒlt tnɒslj,penis.
آلت,fa,ɒlt,The penis.
ابله,fa,ɒblh,Stupid idiot.
ابن یزید,fa,ɒbn jzjd,The son of Aaron.
احمق,fa,ɒhmɣ,Stupid fool.
اسب,fa,ɒsb,Horse horse.
اسبی,fa,ɒsbj,Horse.
اسکل,fa,ɒskl,Sacks.
اسکل,fa,ɒskl,Sacks.
اسگل,fa,ɒsɡl,Siggles.
اسگول,fa,ɒsɡvl,Gog.
الاغ,fa,ɒlɒɣ,The donkey.
الاق,fa,ɒlɒɣ,of the right.
انگل,fa,ɒŋl,parasite.
انی,fa,ɒnj,O you.
انی,fa,ɒnj,O you.
اوسکل,fa,ɒvskl,The Sword.
اوسکل,fa,ɒvskl,The Sword.
اوسگل,fa,ɒvsɡl,O'Sel.
اوصکل,fa,ɒvskl,The whole thing.
اوصگل,fa,ɒvsɡl,Or by the name.
ب ک,fa,b k,b.
باسن,fa,bɒsn,hips.
بخورش,fa,bxvrʃ,Eat it.
بدبخت,fa,bdbxt,miserable.
بمال,fa,bmɒl,by the
تخمم,fa,txmm,My egg.
کیرم,fa,kjrm,I'm old.
بپرروش,fa,bپrrvʃ,So they jump.
بپرسرش,fa,bپrsrʃ,Ask them.
کونی,fa,kvnj,Consie.
بکارت,fa,bkɒrt,Use of you.
بکن توش,fa,bkn tvʃ,Do it in there.
بکنش,fa,bknʃ,Do it.
بکنمت,fa,bknmt,I will do it.
خایه,fa,xɒjh,And complain.
بی عفت,fa,bj ʔft,And it's amazing.
بی غیرت,fa,bj ɣjrt,"No, no."
بی ناموس,fa,bj nɒmvs,The nameless.
بی پدر,fa,bj پdr,Fatherless Father.
بیابخورش,fa,bjɒbxvrʃ,And it is unsounded.
بیشعور,fa,bjʃʔvr,Too much.
بیناموس,fa,bjnɒmvs,Between the words.
تخم سگ,fa,txm sɡ,Dog eggs.
تخمی,fa,txmj,Eggs.
ترک,fa,trk,leave.
توله سگ,fa,tvlh sɡ,puppy.
جاکش,fa,d͡ʒɒkʃ,They are hiding.
جلق زدن,fa,d͡ʒlɣ zdn,They complain.
جنده,fa,d͡ʒndh,A bitch.
جنسی,fa,d͡ʒnsj,Sexual sex.
جوون,fa,d͡ʒvvn,Young young.
جکس,fa,d͡ʒks,Jack.
جیندا,fa,d͡ʒjndɒ,Janeda.
حرومزاده,fa,hrvmzɒdh,bastard.
حشر,fa,hʃr,They made it.
حشری شدن,fa,hʃrj ʃdn,They made it.
حشری,fa,hʃrj,And they voted.
حیوانی,fa,hjvɒnj,Animal animal
خارکس ده,fa,xɒrks dh,The Tens.
خارکسده,fa,xɒrksdh,And the shit.
خارکسّه,fa,xɒrksّh,The shit.
خانم جنده,fa,xɒnm d͡ʒndh,Mrs. bitch.
خایه خور,fa,xɒjh xvr,and complain.
خایه مال,fa,xɒjh mɒl,They complain.
خایه,fa,xɒjh,And complain.
خر,fa,xr,Stupid shit.
خرفت,fa,xrft,Buy it.
خری,fa,xrj,The donkey.
خز,fa,xz,fur.
خفه خون,fa,xfh xvn,Shutting blood.
خفه شو,fa,xfh ʃv,Shut up.
خواهرجنده,fa,xvɒhrd͡ʒndh,Sister.
خی کاس,fa,xj kɒs,The Cass.
داف ناز,fa,dɒf nɒz,Duffice.
داف,fa,dɒf,Duff.
داگ استایل,fa,dɒɡ ɒstɒjl,Dog style.
دخترجنده,fa,dxtrd͡ʒndh,The girl.
دخترقرتی,fa,dxtrɣrtj,The girl.
درازگوش,fa,drɒzɡvʃ,The long tail.
دله,fa,dlh,The heart.
دهن سرویس,fa,dhn srvjs,Mouth service.
گاییده,fa,ɡɒjjdh,Gay.
دهنت سرویس,fa,dhnt srvjs,Mouth service.
دوجنسه,fa,dvd͡ʒnsh,Two sexes.
دول,fa,dvl,The two.
دیوث,fa,djvs,Ditmouth.
دیوس خان,fa,djvs xɒn,Dius Khan
دیوس,fa,djvs,Dius
دیوص,fa,djvs,Dave.
رشتی,fa,rʃtj, رشت
ریدن,fa,rjdn,Reed.
ریدی,fa,rjdj,Reed.
زارت,fa,zɒrt,You are hungry.
زباله,fa,zbɒlh,waste.
زرنزن,fa,zrnzn,The Magician.
زن جنده,fa,zn d͡ʒndh,A bitch.
زن کاسده,fa,zn kɒsdh,Mrs. Cass.
زنا زاده,fa,znɒ zɒdh,Marriages.
زنا,fa,znɒ,adultery.
زنازاده,fa,znɒzɒdh,Marriage of the bastard.
زنتو,fa,zntv,The woman.
زنشو,fa,znʃv,The woman.
زنیکه,fa,znjkh,The woman.
سادیسمی,fa,sɒdjsmj,sadism.
ساک,fa,sɒk,The bag.
ساکونی,fa,sɒkvnj,Sakoni.
سرخور,fa,srxvr,So tired.
سرکیر,fa,srkjr,Sir.
سسکی,fa,sskj,Saskisky.
سوراخ کون,fa,svrɒx kvn,as a hole.
سوراخ کون,fa,svrɒx kvn,as a hole.
سولاخ,fa,svlɒx,Socher.
سکس چت,fa,sks t͡ʃt,Sex chat.
سکس,fa,sks,Sex sex.
سکسی باش,fa,sksj bɒʃ,Be sexy.
سکسی,fa,sksj,Sexy.
سکسیم,fa,sksjm,Sex.
سکسیی,fa,sksjj,Sexy.
سگ تو روحت,fa,sɡ tv rvht,Your dog is your soul.
سگ دهن,fa,sɡ dhn,Dog.
سگ صفت,fa,sɡ sft,Dog's word.
سگ پدر,fa,sɡ پdr,Father's Dog.
سگی,fa,sɡj,Dog.
سیکتیر,fa,sjktjr,Cookies.
شاسگول,fa,ʃɒsɡvl,Shayle.
شاش,fa,ʃɒʃ,She's Shaw.
شق کردن,fa,ʃɣ krdn,Disarray.
شل مغز,fa,ʃl mɣz,Shell brain.
شنگول,fa,ʃŋvl,sandy.
شهوتی,fa,ʃhvtj,Lovely lust.
صیغه ای,fa,sjɣh ɒj,And you have an excuse.
صیک,fa,sjk,A p.
عرب,fa,ʔrb,Arab Arabs
عرق خور,fa,ʔrɣ xvr,sweaty.
عمتو,fa,ʔmtv,My uncle.
عمه ننه,fa,ʔmh nnh,No aunt.
عن تر,fa,ʔn tr,more i.e.
عن,fa,ʔn,i.e.
عنتر,fa,ʔntr,More than the
عوضی,fa,ʔvzj,The bastard.
غرمساق,fa,ɣrmsɒɣ,Fuck the shit.
غرمصاق,fa,ɣrmsɒɣ,They complain.
فاحشه خانم,fa,fɒhʃh xɒnm,Mrs. prostitute.
فاحشه,fa,fɒhʃh,prostitute.
فارس,fa,fɒrs,Persian Gulf.
فاک فیس,fa,fɒk fjs,Facebook's word.
فیلم سوپر,fa,fjlm svپr,Super film.
قرتی,fa,ɣrtj, قر
قرمساق,fa,ɣrmsɒɣ, قر
قرمصاق,fa,ɣrmsɒɣ, قر
قس,fa,ɣs, ق
لا پا,fa,lɒ پɒ,La feet.
لاس,fa,lɒs,Las Vegas
لاش گوشت,fa,lɒʃ ɡvʃt,The meat.
لاشی,fa,lɒʃj,Lashi.
لاکونی,fa,lɒkvnj,The Lockheed
لجن,fa,ld͡ʒn,And the seed.
لخت,fa,lxt,naked naked naked.
لختی,fa,lxtj,naked.
لر,fa,lr,Jack.
لز,fa,lz,Les.
مادر جنده,fa,mɒdr d͡ʒndh,The bastard mother.
مادرجنده,fa,mɒdrd͡ʒndh,The mother.
مادرسگ,fa,mɒdrsɡ,Mother Dog.
مادرقهوه,fa,mɒdrɣhvh,Coffee mother.
مادرکونی,fa,mɒdrkvnj,Mother of Kui.
مالوندن,fa,mɒlvndn,Malmond.
ماچ کردنی,fa,mɒt͡ʃ krdnj,Make me laugh.
مرتیکه,fa,mrtjkh,And the
مردیکه,fa,mrdjkh,A man who
مرض داری,fa,mrz dɒrj,You have a disease.
مرضداری,fa,mrzdɒrj,Sickness.
مشروب,fa,mʃrvb,Drink alcohol.
ملنگ,fa,mlŋ,Melang.
ممه خور,fa,mmh xvr,I'm sorry.
ممه,fa,mmh,I am sorry.
منگل,fa,mŋl,Menge.
میخوریش,fa,mjxvrjʃ,You eat it.
نرکده,fa,nrkdh,Not a horse.
نعشه,fa,nʔʃh,They did not.
نکبت,fa,nkbt,Bad shit.
نگاییدم,fa,ŋɒjjdm,Look at me.
هیز,fa,hjz,Hey hey hey.
ولدزنا,fa,vldznɒ,Volsina.
پدر سوخته,fa,پdr svxth,Father burned.
پدر سگ,fa,پdr sɡ,Father of Dog.
پدر صلواتی,fa,پdr slvɒtj,Father of prayer.
پدرسگ,fa,پdrsɡ,Father Dog.
پریود,fa,پrjvd,A period of time.
پستان,fa,پstɒn,breast breast breast breast.
پسون,fa,پsvn,And then he was.
پشمام,fa,پʃmɒm,I am tired.
پفیوز,fa,پfjvz,Suffice.
پلشت,fa,پlʃt,Paul.
پورن,fa,پvrn,porn porn.
پپه,fa,پپh,Pepe.
چاغال,fa,t͡ʃɒɣɒl,The fuck.
چاقال,fa,t͡ʃɒɣɒl,Fatal fat.
چس خور,fa,t͡ʃs xvr,The bite.
چس,fa,t͡ʃs,Chas.
کاسکش,fa,kɒskʃ,Cass.
کث لیس,fa,ks ljs,The lick.
کث,fa,ks,The KTH.
کثافت,fa,ksɒft,Stupid shit.
کثافط,fa,ksɒft,Contribute.
کردن,fa,krdn,Making it.
کردنی,fa,krdnj,Kennedy.
کرم,fa,krm,The worm.
کس خل,fa,ks xl,Who is wrong.
کس خور,fa,ks xvr,Who's eating.
کس خیس,fa,ks xjs,Someone wet.
کس دادن,fa,ks dɒdn,Giving someone.
کس لیس,fa,ks ljs,Who is Lisa.
کس لیسیدن,fa,ks ljsjdn,Someone is licking.
کس ننت,fa,ks nnt,Nobody.
کس و کیر,fa,ks v kjr,Who and Kir
کس کردن,fa,ks krdn,Kill someone.
کس کش,fa,ks kʃ,Who's holding.
کس,fa,ks,Someone.
کسخل,fa,ksxl,And who is wrong.
کسشعر,fa,ksʃʔr,Who's Poetry.
کسکش,fa,kskʃ,And the one who knows.
کسکیر,fa,kskjr,Who is Freder.
کص خل,fa,ks xl,The shit.
کص لیس,fa,ks ljs,lick.
کص,fa,ks,C.
کصافت,fa,ksɒft,You are right.
کصافط,fa,ksɒft,And the right thing.
کصخل,fa,ksxl,The Magician.
کصکش,fa,kskʃ,They are the receiver.
کلفت,fa,klft,thick.
کله کیری,fa,klh kjrj,The head of Kiri.
کوث لیس,fa,kvs ljs,Colosse.
کوس خل,fa,kvs xl,The shit.
کوس خور,fa,kvs xvr,I'm sorry.
کوس لیس,fa,kvs ljs,The slick.
کوس,fa,kvs,ko.
کوص خل,fa,kvs xl,The shit.
کوص لیس,fa,kvs ljs,The lick.
کوص,fa,kvs,Coke.
کون تپل,fa,kvn tپl,As T.
کون ده,fa,kvn dh,Number ten.
کون سوراخ,fa,kvn svrɒx,The hole.
کون پنیر,fa,kvn پnjr,The cheese.
کون گنده,fa,kvn ɡndh,Big as.
کون,fa,kvn,Conta.
کونده خار,fa,kvndh xɒr,And the shit.
کونده خوار,fa,kvndh xvɒr,They are hungry.
کونده,fa,kvndh,Fuck the cat.
کونشو,fa,kvnʃv,Asshu.
کونی,fa,kvnj,Consie.
کونی,fa,kvnj,Consie.
کیر,fa,kjr,Kir.
کیردراز,fa,kjrdrɒz,Cinders.
کیردوس,fa,kjrdvs,Kird.
کیرر,fa,kjrr,Kerr.
کیرمکیدن,fa,kjrmkjdn,Cookie.
کیرناز,fa,kjrnɒz,Keren.
کیروکس,fa,kjrvks,Kirox
کیروکس,fa,kjrvks,Kirox
کیری,fa,kjrj,Cir.
گاو,fa,ɡɒv,Cow cows.
گاوی,fa,ɡɒvj,Cow.
گاگول,fa,ɡɒɡvl,Gogol.
گایدن,fa,ɡɒjdn,Gasting.
گایدی,fa,ɡɒjdj,Guyy.
گاییدن,fa,ɡɒjjdn,Gaye.
گردن دراز,fa,ɡrdn drɒz,The long neck.
گشاد,fa,ɡʃɒd,and wide.
گوز,fa,ɡvz,Goes.
گوزو,fa,ɡvzv,Gozo.
گوسفند,fa,ɡvsfnd,sheep.
گوش دراز,fa,ɡvʃ drɒz,Long ears.
گوه,fa,ɡvh,Go.
گوه,fa,ɡvh,Go.
گی زن,fa,ɡj zn,Gay woman.
گیخوار,fa,ɡjxvɒr,Gayty.
یبن زنا,fa,jbn znɒ,Marriage of adultery.
مادرتو,fa,mɒdrtv,Mother.
ناموستو,fa,nɒmvstv,Names.
چنده,fa,t͡ʃndh,A few.
باسنی,fa,bɒsnj,The hip.
سیکیم,fa,sjkjm,Skem.
سگ ناموس,fa,sɡ nɒmvs,Dog named
نوب,fa,nvb,"No, no."
خایمال,fa,xɒjmɒl,خای
مادر به خطا,fa,mɒdr bh xtɒ,Mother to error.
کصلیس,fa,ksljs,The Cross.
بکنت,fa,bknt,Do you do it.
کصده,fa,ksdh,Kundice.
گورومساخ,fa,ɡvrvmsɒx,Goremunda.
پوفیوز,fa,پvfjvz,Puffice.
پدرتو,fa,پdrtv,Father.
قورومساق,fa,ɣvrvmsɒɣ,The chorus.
سیهدیر,fa,sjhdjr,The CALLER.
اوبی,fa,ɒvbj,Oh Abby.
مادر سگ,fa,mɒdr sɡ,Mother of Dog.
نگایدم,fa,ŋɒjdm,Look at me.
блядина,ru,blʲadʲina,whore
закрой рот,ru,zakroj rot,shut your mouth
чушка,ru,t͡ɕʲuʂka,stuffed animal
куни,ru,kuni,cunny
жидоёбское,ru,ʒidoobskoe,Jew
тварь,ru,tvarʲ,creature
мымра,ru,mɨmra,mummy
пасть забей,ru,pastʲ zabʲej,shut your mouth.
еврей,ru,jevrʲej,Jew
падла ебаная,ru,padla ebanaa,fucking asshole
выблядок,ru,vɨblʲadok,scumbag
алкоголик,ru,alkoɡolʲik,alcoholic
гандон штопаный,ru,ɡandon ʂtopanɨj,douche bag
зануда,ru,zanuda,nerd
пендосия,ru,pʲendosʲia,pandosia
сука,ru,suka,bitch
пидор,ru,pʲidor,faggot
страхоёбище,ru,straxoobʲiɕːe,motherfucker
срака,ru,sraka,asshole
бомж,ru,bomʒ,bum
радужный мальчик,ru,raduʒnɨj malʲt͡ɕʲik,rainbow boy
стоячек,ru,stoat͡ɕʲek,riser
взбляд,ru,vzblʲad,prying
а хули,ru,a xulʲi,what the fuck
святоша,ru,svʲatoʂa,saint
ёбаный стос,ru,jobanɨj stos,fucking stos
алень,ru,alʲenʲ,stag
пиздоблошка,ru,pʲizdobloʂka,cunt
хуедин,ru,xuedʲin,Huedin
нихуя,ru,nixua,fuck
голуби,ru,ɡolubʲi,pigeons
пришью,ru,prʲiʂu,sew
гнойный,ru,ɡnojnɨj,purulent
блядский,ru,blʲadskʲij,fucking
наебнуться,ru,naebnutʲsʲa,fuck up
мухосоранск,ru,muxosoransk,mukhosoransk
елдак,ru,jeldak,dick
наеб,ru,naeb,fuck
хуеман,ru,xueman,hueman
хуйня,ru,xujna,bullshit
доебались,ru,doebalʲisʲ,fucked up
выебон,ru,vɨebon,fuck
хуле,ru,xulʲe,hoole
змея,ru,zmʲea,snake
волосня,ru,volosna,hair
чучмен,ru,t͡ɕʲut͡ɕʲmʲen,choochman
на хуя,ru,na xua,for fuck's sake
обламаться,ru,oblamatʲsʲa,screw up
мерхавеч,ru,mʲerxavʲet͡ɕʲ,merhavec
барыга,ru,barɨɡa,bargainer
дерьмоед,ru,dʲerʲmoed,turd
ебанулось,ru,jebanulosʲ,fucked up
дупло,ru,duplo,hollow
присунуть,ru,prʲisunutʲ,poke
ахуел,ru,axuel,fuck
блядское,ru,blʲadskoe,fucking
настреляли по пиздюлятору,ru,nastrʲelʲalʲi po pʲizdʲulʲatoru,shot the pussy.
ебанько,ru,jebanʲko,fucker
манья,ru,mana,mania
спиздить,ru,spʲizdʲitʲ,snatch
ебанула,ru,jebanula,fucked
выблядовал,ru,vɨblʲadoval,ogled
скотоёб,ru,skotoob,cattle eater
обосцать,ru,obost͡satʲ,shit
однохуйственно,ru,odnoxujstvʲenno,fucked
менты,ru,mʲentɨ,mentors
наебнулась,ru,naebnulasʲ,fucked up
ёбнул,ru,jobnul,fucked
стоячок,ru,stoat͡ɕʲok,riser
блядская,ru,blʲadskaa,fucking
распиздошила,ru,raspʲizdoʂila,fucked up
блядство,ru,blʲadstvo,fucking
шоха,ru,ʂoxa,shoja
жидоёбский,ru,ʒidoobskʲij,Jew
прихуел,ru,prʲixuel,fucked up
деревня,ru,dʲerʲevna,village
дурак,ru,durak,fool
сволочь,ru,svolot͡ɕʲ,bastard
писька,ru,pʲisʲka,pussy
молокосос,ru,molokosos,sucker
злоебучий,ru,zloebut͡ɕʲij,wicked
опездол,ru,opʲezdol,opezdol
радужный,ru,raduʒnɨj,rainbow
дрянь,ru,drʲanʲ,crap
пошел нахуй,ru,poʂel naxuj,Fuck you.
еблище,ru,jeblʲiɕːe,fuck
лось,ru,losʲ,moose
сексист,ru,sʲeksʲist,sexist
ебальный станок,ru,jebalʲnɨj stanok,fucking machine
свинтус,ru,svʲintus,pig
рак мозга,ru,rak mozɡa,brain cancer
жидоёбка,ru,ʒidoobka,Jew fucker
дать пизды,ru,datʲ pʲizdɨ,pussyfoot
многопиздная,ru,mnoɡopʲizdnaa,multifucked
трахнуть,ru,traxnutʲ,fuck
пиздовладелец,ru,pʲizdovladʲelʲet͡s,cunt owner
ебля,ru,jeblʲa,fucking
иди к черту,ru,idʲi k t͡ɕʲertu,go to hell.
нахуй,ru,naxuj,fuck
распиздяй,ru,raspʲizdʲaj,asshole
малолетка,ru,malolʲetka,juvenile
голубятня,ru,ɡolubʲatna,dovecote
змея подколодная,ru,zmʲea podkolodnaa,pit snake
очко,ru,ot͡ɕʲko,point
передернуть,ru,pʲerʲedʲernutʲ,twitch
блядемудиный пиздопроёб,ru,blʲadʲemudʲinɨj pʲizdoproob,fucking cunt fucker.
присунул,ru,prʲisunul,poked
казел,ru,kazʲel,asshole
импотент,ru,impotʲent,impotent
навешать пиздюлей,ru,navʲeʂatʲ pʲizdʲulʲej,pussyfoot around
мне до лампочки,ru,mne do lampot͡ɕʲkʲi,I don't care.
хули,ru,xulʲi,fuck
остоебать,ru,ostoebatʲ,fuck off
сукин сын,ru,sukʲin sɨn,son of a bitch
пососи мои яйца,ru,pososʲi moi ajt͡sa,Suck my balls.
писюн,ru,pʲisʲun,dick
хуй на тебя,ru,xuj na tʲebʲa,fuck you.
хохол,ru,xoxol,khohol
без пизды,ru,bʲez pʲizdɨ,without the pussy.
мудозвод,ru,mudozvod,husbandry
как ёб твою мать,ru,kak ob tvou matʲ,like a motherfucker.
член,ru,t͡ɕʲlʲen,dick
под юбкой,ru,pod ubkoj,under the skirt
хуйло,ru,xujlo,dickhead
жополиз,ru,ʒopolʲiz,asshole
подонок,ru,podonok,scumbag
наёб,ru,naob,fuck
говно,ru,ɡovno,shit
путана,ru,putana,slut
заебала,ru,zaebala,fucked up
допизды,ru,dopʲizdɨ,fuck it
елда,ru,jelda,faggot
дерево,ru,dʲerʲevo,wood
проститутка,ru,prostʲitutka,prostitute
еб тебя,ru,jeb tʲebʲa,fuck you
отъебись,ru,otʲjebʲisʲ,fuck off
гнида,ru,ɡnida,rot
хитровыебанный,ru,xʲitrovɨebannɨj,dodgy
козел,ru,kozʲel,goat
залупа,ru,zalupa,asshole
еб,ru,jeb,eb
облом,ru,oblom,bummer
не пудри мозги,ru,ne pudrʲi mozɡi,don't mess with me.
вьебал,ru,vʲebal,fucked
